model,threshold_type,threshold,recovery_rate,interest_rate,accuracy,precision_BAD_1,recall_BAD_1,f1_BAD_1,roc_auc,true_negatives,false_positives,false_negatives,true_positives,false_negative_loss,false_positive_loss,total_expected_loss,average_expected_loss,loss_given_default,false_negative_loan_value,false_positive_loan_value
Gradient Boosting,threshold_grid,0.34,0.4,0.04,0.9155480984340044,0.8159509202453987,0.7450980392156863,0.7789165446559297,0.9632800709382285,1371,60,91,266,1128420.0,39584.0,1168004.0,653.2460850111856,0.6,1880700.0,989600.0
Gradient Boosting,threshold_grid,0.35,0.4,0.04,0.9166666666666666,0.8209876543209876,0.7450980392156863,0.7812041116005873,0.9632800709382285,1373,58,91,266,1128420.0,38460.0,1166880.0,652.6174496644295,0.6,1880700.0,961500.0
Gradient Boosting,threshold_grid,0.36,0.4,0.04,0.9161073825503355,0.8204334365325078,0.742296918767507,0.7794117647058824,0.9632800709382285,1373,58,92,265,1135620.0,38460.0,1174080.0,656.6442953020135,0.6,1892700.0,961500.0
Gradient Boosting,threshold_grid,0.37,0.4,0.04,0.9166666666666666,0.8270440251572327,0.7366946778711485,0.7792592592592592,0.9632800709382285,1376,55,94,263,1143720.0,36480.0,1180200.0,660.0671140939597,0.6,1906200.0,912000.0
Gradient Boosting,threshold_grid,0.38,0.4,0.04,0.9149888143176734,0.8253968253968254,0.7282913165266106,0.7738095238095238,0.9632800709382285,1376,55,97,260,1208340.0,36480.0,1244820.0,696.2080536912752,0.6,2013900.0,912000.0
Gradient Boosting,threshold_grid,0.39,0.4,0.04,0.9144295302013423,0.8248407643312102,0.7254901960784313,0.7719821162444114,0.9632800709382285,1376,55,98,259,1213560.0,36480.0,1250040.0,699.1275167785235,0.6,2022600.0,912000.0
Gradient Boosting,threshold_grid,0.4,0.4,0.04,0.9155480984340044,0.8301282051282052,0.7254901960784313,0.7742899850523169,0.9632800709382285,1378,53,98,259,1213560.0,35296.0,1248856.0,698.4653243847874,0.6,2022600.0,882400.0
Gradient Boosting,threshold_grid,0.41,0.4,0.04,0.9166666666666666,0.8376623376623377,0.7226890756302521,0.7759398496240602,0.9632800709382285,1381,50,99,258,1238760.0,32976.0,1271736.0,711.261744966443,0.6,2064600.0,824400.0
Gradient Boosting,threshold_grid,0.42,0.4,0.04,0.9166666666666666,0.8398692810457516,0.7198879551820728,0.77526395173454,0.9632800709382285,1382,49,100,257,1268760.0,32708.0,1301468.0,727.8903803131991,0.6,2114600.0,817700.0
Gradient Boosting,threshold_grid,0.43,0.4,0.04,0.9161073825503355,0.8415841584158416,0.7142857142857143,0.7727272727272727,0.9632800709382285,1383,48,102,255,1285980.0,32408.0,1318388.0,737.3534675615213,0.6,2143300.0,810200.0
Gradient Boosting,threshold_grid,0.44,0.4,0.04,0.9161073825503355,0.8415841584158416,0.7142857142857143,0.7727272727272727,0.9632800709382285,1383,48,102,255,1285980.0,32408.0,1318388.0,737.3534675615213,0.6,2143300.0,810200.0
Gradient Boosting,threshold_grid,0.45,0.4,0.04,0.9155480984340044,0.8410596026490066,0.711484593837535,0.7708649468892261,0.9632800709382285,1383,48,103,254,1294980.0,32408.0,1327388.0,742.3870246085011,0.6,2158300.0,810200.0
Gradient Boosting,threshold_grid,0.46,0.4,0.04,0.9155480984340044,0.8410596026490066,0.711484593837535,0.7708649468892261,0.9632800709382285,1383,48,103,254,1294980.0,32408.0,1327388.0,742.3870246085011,0.6,2158300.0,810200.0
