mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_tree__ccp_alpha,param_tree__class_weight,param_tree__criterion,param_tree__max_depth,param_tree__max_features,param_tree__min_samples_leaf,param_tree__min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.0206697940826416,0.0007070790311662315,0.008044624328613281,0.0005683636619288524,0.001,balanced,entropy,10,sqrt,10,10,"{'tree__ccp_alpha': 0.001, 'tree__class_weight': 'balanced', 'tree__criterion': 'entropy', 'tree__max_depth': 10, 'tree__max_features': 'sqrt', 'tree__min_samples_leaf': 10, 'tree__min_samples_split': 10}",0.8613028434149665,0.8606126071210871,0.887607315489503,0.881114277469158,0.8716001731476806,0.872447443328479,0.010676320152636455,41
0.02010059356689453,0.000666478641070664,0.00819535255432129,0.00024929525470002086,0.0,,entropy,,sqrt,5,25,"{'tree__ccp_alpha': 0.0, 'tree__class_weight': None, 'tree__criterion': 'entropy', 'tree__max_depth': None, 'tree__max_features': 'sqrt', 'tree__min_samples_leaf': 5, 'tree__min_samples_split': 25}",0.8662510308723871,0.8644671734375561,0.8910883053170767,0.8795045451266144,0.8555569583724119,0.8713736026252092,0.012481085442350841,43
0.021507883071899415,0.0016984399851748965,0.007178211212158203,0.0010466543319235203,0.005,balanced,entropy,,sqrt,5,10,"{'tree__ccp_alpha': 0.005, 'tree__class_weight': 'balanced', 'tree__criterion': 'entropy', 'tree__max_depth': None, 'tree__max_features': 'sqrt', 'tree__min_samples_leaf': 5, 'tree__min_samples_split': 10}",0.8588063394169744,0.8774427193517157,0.8837385470023809,0.8902586393478105,0.8454115864656229,0.8711315663169008,0.016601446437268564,44
0.019256019592285158,0.002500657867629809,0.007015371322631836,0.0010204686911220618,0.005,balanced,entropy,,sqrt,5,2,"{'tree__ccp_alpha': 0.005, 'tree__class_weight': 'balanced', 'tree__criterion': 'entropy', 'tree__max_depth': None, 'tree__max_features': 'sqrt', 'tree__min_samples_leaf': 5, 'tree__min_samples_split': 2}",0.8588063394169744,0.8774427193517157,0.8837385470023809,0.8902586393478105,0.8454115864656229,0.8711315663169008,0.016601446437268564,44
0.04259567260742188,0.01249220266532289,0.009805583953857422,0.0028615758584133568,0.001,,entropy,7,,5,25,"{'tree__ccp_alpha': 0.001, 'tree__class_weight': None, 'tree__criterion': 'entropy', 'tree__max_depth': 7, 'tree__max_features': None, 'tree__min_samples_leaf': 5, 'tree__min_samples_split': 25}",0.8674163648750403,0.8595189859801357,0.8814073659909096,0.9006384820720005,0.8464486689272057,0.8710859735690584,0.018623318233909197,46
0.06348929405212403,0.010563630176628999,0.00849289894104004,0.0010954846681596917,0.001,,gini,,,1,2,"{'tree__ccp_alpha': 0.001, 'tree__class_weight': None, 'tree__criterion': 'gini', 'tree__max_depth': None, 'tree__max_features': None, 'tree__min_samples_leaf': 1, 'tree__min_samples_split': 2}",0.8805398185664599,0.8890602029473985,0.8404065363249406,0.8979510857802468,0.8462998701392395,0.870851502751657,0.023192612061293173,47
0.05750083923339844,0.00536754823276074,0.008584928512573243,0.0008417159231078572,0.001,,gini,,,1,10,"{'tree__ccp_alpha': 0.001, 'tree__class_weight': None, 'tree__criterion': 'gini', 'tree__max_depth': None, 'tree__max_features': None, 'tree__min_samples_leaf': 1, 'tree__min_samples_split': 10}",0.8799661156728459,0.8885537308616299,0.8404065363249406,0.8979510857802468,0.8462998701392395,0.8706354677557805,0.023066329305487045,48
0.017939662933349608,0.001860877305750407,0.0070972442626953125,0.0007768214279217418,0.001,,entropy,10,sqrt,1,10,"{'tree__ccp_alpha': 0.001, 'tree__class_weight': None, 'tree__criterion': 'entropy', 'tree__max_depth': 10, 'tree__max_features': 'sqrt', 'tree__min_samples_leaf': 1, 'tree__min_samples_split': 10}",0.8597834271576608,0.8641489476137546,0.8830937522545271,0.8928738907726715,0.8518099343481712,0.870341990429357,0.0152549539691304,49
0.03632750511169434,0.002138707694769617,0.008044099807739258,0.00017686986156456127,0.0,,entropy,7,,5,25,"{'tree__ccp_alpha': 0.0, 'tree__class_weight': None, 'tree__criterion': 'entropy', 'tree__max_depth': 7, 'tree__max_features': None, 'tree__min_samples_leaf': 5, 'tree__min_samples_split': 25}",0.8634452651583061,0.858999067732798,0.8813893297741864,0.9006384820720005,0.8464531779813866,0.8701850645437356,0.018903439151241555,50
0.024129104614257813,0.005892988147580761,0.011483240127563476,0.0032225918815618542,0.001,,entropy,,sqrt,10,10,"{'tree__ccp_alpha': 0.001, 'tree__class_weight': None, 'tree__criterion': 'entropy', 'tree__max_depth': None, 'tree__max_features': 'sqrt', 'tree__min_samples_leaf': 10, 'tree__min_samples_split': 10}",0.861096668937574,0.873041342464771,0.8795000360724334,0.8941499531058366,0.8428729889618354,0.8701321979084902,0.017307670754994623,51
